English,Japanese
acquittal,無罪判決
acreage,エーカーでの広さ
acrid,鼻を突く
acrimonious,辛辣な
acrimony,とげとげしさ
acrobatics,曲芸
acronym,頭字語
across,横断して
act,行為
acting,演技
actinic,化学線の
actionable,実用的な
activate,活性化する
activated,活性化した
activator,活性剤
actively,積極的に
activism,行動主義
activist,活動家
activity,活動
actor,俳優
actress,女優
actual,実際
actuality,現実
actually,実際に
actuarial,生命表法による
actuary,保険数理士
acuity,鋭さ
acumen,洞察力
acupuncture,鍼
acus,針
acute,急性
acutely,鋭く
adage,格言
adamant,断固とした
adamantly,断固
adapt,適合させる
adaptability,適応性
adaptable,適合
adaptation,適応
adaptive,適応
add,加える
added,追加された
addendum,補遺
adder,毒蛇
addict,中毒
addicted,はまって
addiction,中毒
addictive,中毒性の
addition,追加
additional,追加の
additionally,さらに
additive,添加剤
address,住所
addressed,対処
addressee,受取人
adduce,提示する
adduct,付加物
adenocarcinoma,腺癌
adenoma,腺腫
adenoviral,アデノウイルスの
adept,名人
adequacy,妥当性
adequate,十分な
adequately,適切に
adhere,接着する
adherent,付着した
adhesion,接着
adhesive,接着剤
adieu,別れ
adipocyte,含脂肪細胞
adipose,脂肪
adiposity,脂肪症
adjacent,隣接
adjectival,形容詞の
adjective,形容詞
adjoin,継ぎ足す
adjoining,隣接している
adjourn,延期する
adjournment,延期
adjudicate,裁く
adjudicated,裁定
adjudication,裁定
adjunct,付属物
adjust,調整する
adjusted,調整後
adjusting,調整の
adjustment,調整
admin,管理者
administer,管理する
administration,管理
administrative,行政の
administrator,管理者
admirable,立派な
admirably,見事に
admiral,提督
admiralty,海軍本部
admiration,称賛
admire,感心する
admirer,崇拝者
admissible,許容できる
admission,入場
admit,認める
admittance,入場許可
admittedly,確かに
admixture,混合
admonish,戒める
admonished,諭さ
admonition,訓戒
ado,騒ぎ
adolescence,青年期
adolescent,思春期の
adopt,採用
adoptee,養子
adoption,採用
adoptive,採用の
adorable,愛らしい　
adoration,崇拝
adore,崇拝する
adored,崇拝
adorn,飾る
adornment,装飾品
adrenal,副腎の
adrenalectomized,副腎を切除された
adrenalectomy,副腎摘出
adrenergic,アドレナリン作動性の
Adriatic,アドリア海
adrift,漂流して
adroit,器用な
adroitly,巧み
adsorption,吸着
adulation,お世辞
adulterer,密通者
adulterous,姦通の
adultery,姦通
adulthood,成人期
advance,前進
advanced,高度な
advancement,進歩
advantage,利点
advantageous,有利
advantageously,有利に
advent,降臨
adventure,冒険
adventurer,冒険家
adventurism,冒険主義
adventurous,冒険好きな
adverb,副詞
adverbial,副詞の
adversarial,敵対的な
adversary,敵
adverse,不利な
adversely,逆に
adversity,逆境
advert,広告
advertise,広告を出す
advertisement,広告
advertiser,広告主
advisability,可否
advisable,望ましい　
adviser,顧問
advisor,顧問
advocate,提唱者
Aegis,後援
aerate,通気する
aerated,通気した
aerie,巣
aerobic,好気的
aerodynamic,空気力学的な
aerodynamics,空気力学
aeronautic,航空
aeronautical,航空の
aeronautics,航空学
aeroplane,飛行機
aerospace,航空宇宙
aeruginosa,緑膿菌
aesthete,唯美主義者
aesthetic,美的
aesthetically,審美的に
aesthetics,美学
Aetna,エトナ山
AFAIK,私の知る限り
afar,遠く
affability,愛想の良さ
affable,優しい　
affair,出来事
affaire,出来事
affect,影響を及ぼす
affectation,気取り
affected,影響を受けた
affecting,影響
affection,愛情
affectionate,優しい　
affectionately,愛情を込めて
affective,感情の
afferent,求心性の
affidavit,宣誓供述書
affiliated,付属
affiliation,所属
affinity,親和性
affirm,確認する
affirmation,肯定
affirmative,肯定的な
affix,貼る
affixed,貼り付け
afflict,苦しめる
affliction,苦悩
affluence,豊かさ
affluent,裕福な
afford,与える
affordability,値ごろ感
affordable,手頃な価格の
affront,侮辱
Afghan,アフガニスタンの
aficionado,愛好家
afield,道に迷って
afire,燃えて
aflame,燃えて
afloat,海上に
afoot,進行中の
aforementioned,前述の
aforesaid,前述の
aforethought,故意
afoul,抵触
afraid,恐れて
afresh,新たに
African,アフリカの
Afrikaans,アフリカーンス語
after,後に
aftereffect,後遺症
afterglow,残光
afterlife,死後の世界
aftermath,余波
afternoon,午後
aftershock,余震
aftertaste,後味
afterthought,結果論
afterward,その後
afterword,後書き
ag,株式会社
again,再び
against,に対して
agape,口を開けて
agar,寒天
agate,めのう(瑪瑙)
age,年齢
aged,老いた
agency,代理店
agent,代理人
agglomeration,凝集
aggrandizement,誇張
aggravate,悪化させる
aggravating,困った
aggravation,悪化
aggregate,集計
aggregated,集約
aggression,侵略
aggressive,攻撃的な
aggressively,積極的に
aggressiveness,攻撃性
aggressor,侵略者
aggrieved,権利を侵害された
aghast,びっくりして
agile,機敏な
aging,老化
agitate,かき混ぜる
agitation,攪拌
aglow,輝いて
agnostic,不可知論者
agnosticism,不可知論
ago,前に
agog,うずうずして
agonist,作動薬
agonized,苦悶
agonizing,苦しい　
agony,苦痛
Agora,広場
agrarian,農業の
agree,同意する
agreeable,快い　
agreeably,快く
agreement,合意
agricultural,農業の
agriculture,農業
Agringado,英西辞書
agrobacterium,土壌細菌
aground,座礁して
ah,ああ!
aha,なるほど
ahead,前もって
ahh,ああ
ahoy,おーい!
AI,人工知能
aid,援助
aide,側近
ailing,病んでいる
ailment,病気
aim,狙い
aimless,漫然
air,空気
airborne,空中
aircraft,航空機
airfare,航空運賃
airfield,飛行場
airhead,変人
airing,放送
airless,風通しの悪い　
airlift,空輸
airline,航空会社
airliner,旅客機
airman,飛行士
airplane,飛行機
airport,空港
airship,飛行船
airspace,領空
airstrike,空爆
airstrip,滑走路
airtight,気密の
airtime,放送時間
airwave,放送電波
airway,気道
airy,風通しの良い　
aisle,通路
ajar,少し開いて
akimbo,両手を腰に当てて
akin,同族の
AL,アラバマ州
ala,翼
Alabama,アラバマ州
alacrity,乗り気
alarming,憂慮すべき
alarmingly,驚くほどに
alarmist,人騒がせ
Alaska,アラスカ州
Alaskan,アラスカの
albeit,とはいえ
Alberta,アルバータ州
albinism,先天性白色症.白子
alchemist,錬金術師
alchemy,錬金術
alcoholic,アルコール性の
alcoholism,アルコール依存症
alderman,市会議員
alertness,警戒心
alga,藻類
algae,藻類
algal,藻類の
algebra,代数
algebraic,代数の
Algerian,アルジェリアの
alienate,遠ざける
alienation,疎外
alight,降る
align,整列する
alike,同様に
alimony,扶養手当
alive,生きている
alkaline,アルカリ性
alkalinity,アルカリ度
all,すべて
allay,和らげる
allegation,申し立て
allege,主張する
alleged,申し立てられた
allegedly,申し立てによると
allegiance,忠誠
allegorical,寓話の
allegory,寓意
allelic,対立遺伝子の
allergic,アレルギーの
alleviate,軽減する
alleviation,緩和
alley,路地
alleyway,路地
alliance,提携
allied,連合国の
allies,同盟国
alliteration,頭韻
allocate,割り当てる
allocation,割り当て
allograft,同種移植片
allosteric,アロステリックな
allot,充てる
allotment,割当
allotted,割り当てられた
allover,いたるところ
allow,許可する
allowable,許容可能な
allowance,手当
allowed,許可された
alloy,合金
allude,ほのめかす
alluring,魅力的な
allusion,ほのめかし
allusive,ほのめかした
alluvial,沖積層の
ally,味方
almost,ほとんど
alms,施し物
alone,唯一の
along,に沿って
alongside,並んで
aloof,よそよそしい　
alot,たくさん
aloud,声を出して
alphabetic,アルファベット順の
alphabetical,アルファベット順の
alphabetically,アルファベット順に
alphanumeric,英数字
alpine,高山
Alps,アルプス山脈
already,すでに
alright,大丈夫
alrighty,よっしゃ
also,もまた
alt,アルト(の)
altar,祭壇
altarpiece,祭壇画
alter,変更する
alteration,変更
altercation,口論
altered,変更された
alternate,別の
alternately,交互に
alternation,交代
alternative,代替案
alternatively,あるいは
although,しかし
altitude,高度
altogether,全体で
altruism,利他主義
altruist,利他主義者
altruistic,利他
alumna,女子卒業生
alumni,男子卒業生
alveolar,歯槽
alveolus,歯槽
always,常に
Alzheimer,アルツハイマー病
amalgamate,融合する
amalgamation,アマルガム化
amass,蓄える
amateurish,アマチュアっぽい　
amaze,びっくりさせる
amazed,びっくりした
amazement,驚き
amazing,素晴らしい
amazingly,驚くほどに
ambassador,大使
ambassadorial,大使の
ambiance,雰囲気
ambidexterity,両手利き
ambidextrous,両手利きの
ambience,雰囲気
ambient,周囲の
ambiguity,曖昧さ
ambiguous,曖昧な
ambit,範囲
ambition,野望
ambitious,野心的な
ambivalence,愛憎併存
ambivalent,曖昧
ambulance,救急車
ambulatory,歩行可能な
ambush,待ち伏せ
ameliorate,改善する
amelioration,改善
amenable,従順な
amend,修正する
amendable,修正可能な
amendment,改正
amends,償い
American,アメリカの
Amerindian,アメリカ·インディアン
ami,友 
amiable,愛想の良い　
amiably,愛想よく
amicable,友好的な
amid,の中で
amidst,真ん中に
amino,アミノ基
Amish,アマン派
amiss,間違って
Amistad,アミスタッド事件
amity,友好
ammo,弾薬
ammunition,弾薬
amnesia,健忘
amnesiac,記憶喪失
amnesty,恩赦
amniotic,羊膜の
amok,逆上して
among,の間で
amongst,の間で
amonte,上流に
amoral,不道徳な
amorous,好色な
amortization,償却
amortize,償却する
amount,量
amour,恋愛
amphibian,両生類
amphibious,水陸両用
amphitheater,円形競​​技場
amphitheatre,円形競​​技場
ample,十分な
amplicon,単位複製配列
amplification,増幅
amplified,増幅した
amplify,増幅する
amplitude,振幅
amply,十分に
amputate,切断する
amputated,切断
amputation,切断
amputee,切断手術を受けた人
amulet,お守り
amus,愛
amused,面白そうな
amusing,面白い　
amusingly,面白おかしく
Amygdala,扁桃体
an,ひとつの
ana,逸話集
Anabaena,アナベナ属
anachronism,時代錯誤
anachronistic,時代錯誤の
anaerobic,嫌気性の
anaesthesia,麻酔
anaesthetic,麻酔薬
analgesia,鎮痛
analgesic,鎮痛剤
analogous,類似した
analogy,類推
analyse,分析する
analysed,分析
analysis,解析
analyte,検体
analytic,分析的な
analytical,分析
analytically,分析的に
analyze,分析する
analyzing,解析
anaphase,後期
anaphylactic,アナフィラキシーの
anarchic,無政府
anathema,破門
anatomic,解剖の
anatomical,解剖学の
anatomically,解剖学的に
anatomy,解剖学
ancestor,祖先
ancestral,先祖の
ancestry,祖先
ancient,古代
ancients,古代人
ancillary,補助的な
and,と
androgynous,中性的な
anecdotal,逸話的な
anecdote,逸話
anemia,貧血
anemic,貧血の
anesthesia,麻酔
anesthesiologist,麻酔専門医
anesthetic,麻酔薬
anesthetize,麻酔する
anesthetized,麻酔
aneuploidy,異数性
aneurysm,動脈瘤
anew,新たに
angel,天使
angelic,天使のような
angelus,お告げの祈り
anger,怒り
angina,狭心症
angiogenesis,血管形成
angiogenic,血管新生
angiography,血管造影
angioplasty,血管形成術
angiosperm,被子植物
angle,角度
angled,角度付き
angler,釣り人
anglican,聖公会の
anglicized,英国化
Anglophone,英語を話す
Angola,アンゴラ共和国
angrily,怒って
angry,怒って
angst,不安
anguish,苦悩
anguished,苦悩に満ちた
angular,角度の
anhydrous,無水
animal,動物
animated,アニメの
animosity,敵意
ankle,かかと
anlage,原基
annals,年代記
Annapurna,アンナプルナ山
anneal,焼きなまし
annex,別館
annexation,併合
annexed,付属
annihilate,全滅させる
annihilation,消滅
anniversary,記念日
annotate,注釈を付ける
annotated,注釈付きの
annotation,注釈
announcement,発表
annoy,困らせる
annoyance,迷惑
annoying,迷惑な
annoyingly,うるさく
annual,年次の
annualize,年率に換算する 
annually,毎年
annuity,年金
annul,取り消す
annulment,取り消し
annunciation,受胎告知
anodyne,鎮痛剤
anoint,聖油を塗る
anointed,(聖油を)塗られた
anomalous,変則的な
anomaly,異常
anonymity,匿名
anonymous,匿名の
anonymously,匿名で
anorexia,食欲不振
anorexic,拒食症の
another,別の
answer,答え
answerable,責任がある
answering,応答
ant,蟻
antacid,制酸剤
antagonism,拮抗作用
antagonistic,対立する
antagonize,拮抗
Antarctic,南極
Antarctica,南極大陸
antebellum,南北戦争前の
antecedent,先行詞
antechamber,副室
antediluvian,時代遅れの
antennal,触角の
anterior,前方の
anteriorly,前方に
anthem,賛美歌
anther,葯
anthill,あり塚
anthracis,炭疽菌
anthrax,炭疽菌
anthropological,人類学的な
anthropologist,人類学者
anthropology,人類学
anthropometric,人体計測
anthropomorphic,擬人化された
anti,反対
antibacterial,抗菌
antibiotic,抗生物質
antibody,抗体
antic,首をかしげたくなるような
anticancer,抗がん
antichrist,反キリスト
anticipate,予想する
anticipation,期待
anticipatory,予期しての
anticlimax,竜頭蛇尾
anticonvulsant,抗けいれん薬
antics,ふざけた態度
antidepressant,抗うつ剤
antidote,解毒剤
antifreeze,不凍液
antifungal,抗真菌剤
antigen,抗原
antigenic,抗原性の
antihistamine,抗ヒスタミン剤
antihypertensive,降圧剤
antimalarial,抗マラリア薬
antimatter,反物質
antimicrobial,抗菌剤
antinuclear,反原子力主義
antioxidant,酸化防止剤
antipathy,反感
antipodean,対蹠地の
antipsychotic,抗精神病薬
antiquarian,古物収集家
antiquated,時代遅れの
antiquity,古代
antiretroviral,抗レトロウイルス薬
antisense,アンチセンスの
antiseptic,防腐剤
antisera,抗血清
antiserum,抗血清
antisocial,社交ぎらいの
antiterrorism,反テロ
antithetical,正反対の
antitrust,独占禁止
antitumor,抗腫瘍
antiviral,抗ウイルス薬
antiwar,反戦の
antler,枝角
antonym,反意語
antral,腔の
anus,肛門
anvil,金床(かなとこ)
anxiety,不安
anxious,心配して
anxiously,心配そうに
any,いくつかの
anybody,誰でも
anyhow,とにかく
anymore,もはや
anyone,誰でも
anyplace,どこでも
anything,何か
anytime,いつでも
anyway,とにかく
anywhere,どこでも
aorta,大動脈
aortic,大動脈の
apace,たちまち
apart,離れて
apathetic,無関心の
apathy,無関心
ape,類人猿 
aperitif,食前酒
aperture,開口部
apex,頂点
aphasia,失語症
aphorism,格言
aphrodisiac,媚薬
apical,頂点の
apiece,各個に
aplenty,豊富
aplomb,冷静
apocalypse,黙示録
apocalyptic,終末論的な
apocrypha,外典
apocryphal,作り話の
apogee,遠地点
apolitical,政治に無関心な
apologetic,弁明
apologetically,申し訳なさそう
apologise,謝る
apologist,擁護者
apologize,謝る
apology,謝罪
apoplectic,脳卒中の
apoplexy,脳卒中
apoptotic,アポトーシスの
apostasy,背教
apostate,背教者
apostle,使徒
apostolic,ローマ教皇の
apothecary,薬屋
apotheosis,神格化
Appalachian,アパラチア山脈
appall,ぎょっとさせる
appalling,ぞっとするような
apparatchik,党官僚
apparatus,装置
apparent,明らかな
apparently,明らかに
apparition,幻影
appear,現れる
appearance,外観
appearing,現れる
appease,なだめる
appeasement,宥和
appellate,上訴の
appellation,名称
appendage,付属物
appendicitis,虫垂炎
appendix,付録
appetite,食欲
appetizer,前菜
appetizing,食欲をそそる
applaud,拍手を送る
applause,拍手
applesauce,でたらめ
applicability,適用性
applicable,適用される
applicant,申請者
applicator,塗布器
applied,適用された
apply,申し込む
appoint,任命する
appointee,被任命者
appointment,任命
apportion,分配する
apportionment,分担
apposite,しっくり来る
apposition,同格
appositive,同格語
appraisal,評価
appraise,評価する
appraiser,鑑定士
appreciable,かなりの
appreciably,かなり
appreciate,感謝する
appreciation,感謝
appreciative,鑑賞的な
apprehend,逮捕する
apprehended,逮捕
apprehension,不安
apprehensive,不安
apprentice,見習い
apprenticeship,見習い
apprise,知らせる
approachable,親しみやすい　
approbation,賛同
appropriate,適切な
appropriately,適切に
appropriateness,妥当性
appropriation,歳出予算
approval,承認
approve,承認する
approved,承認された
approvingly,満足げに
approx,約
approximate,近似
approximated,近似
approximately,約
approximation,近似​​値
Apr,4月
April,4月
apse,後陣
apt,適切な
aptitude,適性
aptly,適切に
aquarium,水族館
Aquarius,水瓶座
aquatic,水上
aqueduct,水路
aqueous,水性
aquifer,帯水層
AR,アーカンサス州
Arabian,アラビアの
Arabic,アラビア語
arable,耕地
arachnid,クモ形類の
Aramaic,アラム語
arbitrage,裁定取引
arbitrarily,任意に
arbitrary,任意
arbitrate,仲裁する
arbitration,仲裁
arbitrator,仲裁人
arboreal,樹木の
arboretum,樹木園
arcane,不可解な
archaea,古細菌
archaeal,古細菌の
archaebacterium,古細菌
archaeological,考古学的な
archaeologist,考古学者
archaeology,考古学
archaeon,古細菌
archaic,古風な
Archangel,大天使
archbishop,大司教
Archdiocese,大司教区
arched,アーチ形の
archenemy,大敵
archeological,考古学の
archeology,考古学
archer,射手
archetypal,典型的な
archetype,原型
archipelago,列島
architect,建築家
architectural,建築の
archivist,公文書保管人
archly,いたずらっぽく
archrival,最大のライバル
archway,アーチ道
Arctic,北極圏
ardent,熱心な
ardently,熱心に
ardor,情熱
arduous,つらい　
are,ある
Argentine,アルゼンチン人
argh,なんてこった
Argonne,アルゴンヌ国立研究所
argot,隠語
arguable,論証できる
arguably,間違いなく
argue,主張する
argument,引数
argumentative,理屈っぽい　
arid,乾燥
arise,発生する
aristocracy,貴族
aristocrat,貴族
aristocratic,貴族の
arithmetic,算術
arithmetical,算術
Ariz,アリゾナ州
Arizona,アリゾナ州
ark,箱舟
Arkansas,アーカンソー州
arm,腕
armament,武装
armband,腕章
armed,武装した
Armenian,アルメニア語
arming,武装
armistice,休戦
armoire,戸棚
armor,鎧
armored,装甲の
armory,武器庫
armour,鎧
armpit,脇の下
arms,武器
army,軍
aroma,香り
aromatic,芳香族の
around,周りに
arousal,覚醒
arouse,喚起する
arraignment,罪状認否
arrangement,配置
arrayed,配列
arrears,延滞
arrest,逮捕
arrested,逮捕される
arrhythmia,不整脈
arrival,到着
arrive,到着する
arriving,到着
arrogance,傲慢
arrogant,傲慢な
arrondissement,フランスの区.郡
arrow,矢印
arrowhead,矢じり
arse,尻
arsenate,ヒ酸塩
arsenic,ヒ素
arson,放火
arsonist,放火犯
arterial,動脈の
arteriosclerosis,動脈硬化
artery,動脈
artful,巧妙な
artfully,巧妙に
arthritic,関節炎の
arthritis,関節炎
arthroplasty,関節形成術
arthropod,節足動物
article,記事
articles,物品
articular,関節の
articulate,明確に述べる
articulated,多関節
articulation,関節
artifactual,人為的な
artifice,策略
artificial,人工的な
artificiality,人工物
artificially,人工的に
artillery,大砲
artisan,職人
artisanal,職人の
artiste,芸能人
artistic,芸術的
artistically,芸術的に
artistry,芸術性
artless,あどけない　
artwork,芸術作品
arty,芸術家気取りの
arus,水流
ary,に関する
Aryan,アーリア人
as,として
ASAP,できるだけ速くに
ascend,登る
ascendancy,優勢
ascendant,優勢
ascended,昇天
ascension,上昇
ascertain,確かめる
ascertained,確認された
ascertainment,確認
ascetic,禁欲的な
asceticism,禁欲主義的な
ascribe,帰す
aseptic,無菌の
asexual,無性の
ashamed,恥ずかしい
ashen,灰色
ashore,岸に
ashtray,灰皿
ashy,灰まみれの
Asian,アジアの
aside,余談
asinine,愚かな
ask,頼む
askance,不信感を持って
asked,尋ね
askew,斜めに
asking,質問
asleep,眠って
aspartate,アスパラギン酸塩
aspartic,アスパラギンの
aspersion,中傷
asphyxiation,窒息
aspirant,大望を抱く
aspirate,吸引物
aspirated,吸い込まれた
aspiration,吸引
aspire,熱望する
aspiring,意欲的な
assail,攻撃する
assailant,加害者
assassin,暗殺者
assassinate,暗殺する
assassination,暗殺
assault,暴行
assaulted,暴行
assay,検定
assayed,検定
assemblage,組み立て
assemblyman,議員
assent,同意
assertive,断定的な
assess,評価する
assessing,評定
assessment,評価
assessor,査定員
asset,資産
asshole,下衆野郎
assiduous,勤勉な
assiduously,熱心に
assign,割り当てる
assignable,割当可能な
assignation,割り当て
assignment,割り当て
assimilate,同化する
assimilated,同化
assimilation,同化
assistance,支援
associate,仲間
associated,関連した
association,組合
associative,連想
assorted,盛り合わせ
assortment,詰め合わせ
assuage,和らげる
assume,引き受ける
assumed,想定
assuming,と仮定すると
assumption,仮定
assurance,保証
assure,保証する
assured,自信のある
assuredly,確かに
asteroid,小惑星
asthma,ぜんそく
asthmatic,ぜんそくの
astigmatism,乱視
astonish,驚かす
astonished,びっくりした
astonishing,驚くべき
astonishingly,驚くほど
astonishment,驚き
astound,驚かす
astounded,仰天
astounding,驚異的な
astral,星の
astray,道に迷って
astride,またがって
astringent,渋い　
astrocyte,星状膠細胞
astrologer,占星術師
astrological,占星術の
astrology,占星術
astronaut,宇宙飛行士
astronomer,天文学者
astronomical,天文学的な
astronomy,天文学
astrophysics,天体物理学
astroturf,人工芝
astute,抜け目のない
asunder,バラバラに
asylum,亡命
asymmetric,非対称の
asymmetrical,非対称
asymmetry,非対称
asymptomatic,無症候性の
at,に
atavistic,隔世遺伝の
ataxia,運動失調
atheism,無神論
atheist,無神論者
Athenian,アテナイ人の
atherosclerosis,アテローム性動脈硬化症
atherosclerotic,アテローム性動脈硬化
athleticism,運動競技熱
athletics,陸上競技
Atlantan,アトランタ市民
Atlantic,大西洋
Atlantis,アトランティス号
atmosphere,雰囲気
atmospheric,大気の
atoll,環礁
atom,原子
atonal,調子のない
atone,償う
atonement,償い
atop,頂上に
atrial,心房の
atrium,心房
atrocious,凶悪な
atrocity,残虐行為
atrophy,萎縮
attack,攻撃
attain,達成する
attainable,達成できる
attainment,達成
attempt,試み
attempted,未遂
attend,出席する
attendance,出席
attendee,出席者
attention,注目
attentional,注意
attentive,気配り
attentively,注意深く
attenuate,減衰
attenuated,弱毒
attenuation,減衰
attest,証明する
attestation,認証
attested,証言
attic,屋根裏
attire,衣装
attired,服装
attitude,態度
attorney,弁護士
attract,引き付ける
attractive,魅力的
attractively,魅力
attractiveness,見栄え
attributable,起因する
attribute,属性
attribution,帰属
attrition,摩滅
attuned,敏感
atypical,非定型の
AU,アフリカ連合
auctioneer,競売人
audacious,大胆な
audacity,大胆さ
audible,聞こえる
audience,聴衆
audiotape,録音テープ
audiovisual,視聴覚
audit,監査
auditing,会計監査
auditor,監査人
auditorium,講堂
auditory,聴覚の
Aug,8月
augment,増強
augmentation,増強
augmented,拡張された
augur,占師
August,8月
aunt,叔母
auntie,婆
aural,聴覚の
aureus,球菌
auspices,よいきざし
auspicious,縁起の良い　
austere,厳しい　
austerity,緊縮財政
Australian,オーストラリア人
Austrian,オーストリアの
auteur,作家
authentic,本物の
authentically,真正に
authenticate,認証
authentication,認証
authenticity,信憑性
author,著者
authoritarian,権威主義の
authoritarianism,権威主義
authoritative,権威ある
authority,権限
authorization,承認
authorized,認可
authorship,原作者
autism,自閉症
autistic,自閉症の
autoantibody,自己抗体
autoantigen,自己抗原
autobiographical,自伝
autobiography,自伝
autocatalytic,自己触媒的な
autocorrelation,自己相関
autocracy,独裁政治
autocrat,独裁者
autocratic,独裁的な
autocrine,自己分泌
autoimmune,自己免疫
autoimmunity,自己免疫
automaker,自動車メーカー
automate,自動化する
automated,自動化された
automatic,自動
automatically,自動的に
automobile,自動車
automotive,自動車の
autonomic,自律神経系の
autonomous,自主的な
autonomy,自治
autophosphorylation,自己リン酸化
autopsy,検死(する)
autoroute,高速道路
autosomal,常染色体の
autosome,常染色体
autosummarize,要約の作成
autumn,秋
autumnal,秋の
auxiliary,補助
avail,役に立つ
availability,有効性
available,利用できる
avalanche,雪崩
avarice,貪欲
avaricious,強欲な
avenge,討つ
avenger,復讐者
avenue,大通り
aver,証言する
average,平均
averaging,平均化
averse,嫌って
aversion,嫌悪
avert,避ける
avian,鳥類の
aviary,鳥小屋
aviation,航空
aviator,飛行士
avid,熱心な
avidity,親和性
avidly,熱心に
avirulent,無毒の
avocation,趣味
avoid,避ける
avoidable,回避できる
avoidance,回避
avow,率直に認める
avowal,公言
avowed,公然の
avulsion,摘出
avuncular,叔父の
await,待つ
awake,起きる
awaken,目覚める
awakening,目覚め
award,賞
aware,知って
awareness,認知度
awash,あふれて
away,離れて
awe,畏敬の念
awed,恐れおののいた
awesome,驚くばかり
awestruck,畏敬の念を覚える
awful,ひどい　
awfully,ひどく
awhile,しばらく
awkward,厄介な
awkwardly,ぎこちなく
awkwardness,ぎこちなさ
awry,ゆがんで
ax,斧
axe,斧
axial,軸方向の
axillary,腋窩(えきか)の
axiom,公理
axiomatic,自明の
axis,軸
axle,車軸
axon,軸索
axonal,軸索の
axotomy,軸索切断
aye,賛成
azimuth,方位角
Aztec,アステカ族
azure,空色
babble,せせらぎ
babe,赤ん坊
baby,赤ちゃん
babyhood,乳児期
babyish,あどけない　
Babylonian,バビロニア人
babysit,子守
bachelor,学士
bachelorhood,独身
